1	2	3
19089.0	8127.5	8279.1
17950.6	8120.0	7529.5
56019.6	24849.7	25508.8
89303.2	39582.9	39062.6
7864.2	3429.5	3341.6
116895.6	51934.1	51229.2
63510.9	28424.3	27592.8
21107.3	8478.0	9698.3
34876.8	15826.7	15745.2
63820.4	26857.4	29437.2
110838.5	50489.3	47791.1
79711.6	34628.5	35197.5
69115.0	32021.8	28263.9
25998.8	13059.9	10180.9
250665.7	111246.2	110588.3
68989.6	30006.3	30747.0
14855.0	7383.2	6214.6
45082.5	18612.1	20289.4
26451.0	12153.6	11396.0
25285.3	10561.4	10816.0
6794.8	3334.9	2926.5
160077.3	71300.5	70003.0
73223.5	32277.2	31426.3
21041.0	9221.3	9668.0
42917.2	19515.2	18543.8
28671.3	12631.9	12574.4
55396.6	23887.7	25109.3
5148.8	2550.4	2305.0
63929.2	28338.9	27853.0
8867.6	3951.8	3788.4
86116.4	38009.3	37129.8
72804.1	32745.5	31742.7
65233.7	29827.0	27121.6
92047.4	40004.2	39864.5
8375.2	3717.4	3523.3
228607.8	99279.6	102284.0
42678.8	17774.9	19416.2
15608.3	6883.0	7118.9
17288.4	6988.4	7794.1
21963.6	10893.3	8983.3
62089.6	27399.7	27573.6
20176.9	9089.0	9249.9
26801.2	11787.2	11717.3
31154.6	13996.2	13936.5
10505.4	4343.8	4678.4
6610.9	3105.2	2772.4
127581.7	56745.8	54821.7
12138.3	5310.9	5591.1
39046.6	17233.7	17448.6
41380.1	17491.7	18380.9
27122.8	13042.0	11350.3
210824.0	92222.2	94257.5
61856.0	27885.6	27159.3
85869.9	38979.1	37683.9
21202.7	8382.7	10102.9
51711.5	22910.1	23937.7
41042.1	17912.0	18300.3
15028.6	6863.9	6269.6
27594.0	11637.7	11827.2
12505.5	4985.6	5626.4
48300.5	22186.6	20706.5
51116.8	22573.2	22276.0
49400.7	22689.3	21979.3
78141.5	33474.5	34742.1
11721.4	4819.4	5463.8
266375.6	115835.5	118307.4
18503.0	7095.7	8399.6
8605.9	3732.1	4056.7
27127.0	11547.7	11366.8
14516.5	6580.3	6020.2
